Macrotrends Data Download,,,
,,,
Cambodia Coal Usage/Consumption 1995-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, % of Electricity from Coal, Annual Change, 
12/31/1995,0,,
12/31/1996,0,0,
12/31/1997,0,0,
12/31/1998,0,0,
12/31/1999,0,0,
12/31/2000,0,0,
12/31/2001,0,0,
12/31/2002,0,0,
12/31/2003,0,0,
12/31/2004,0,0,
12/31/2005,0,0,
12/31/2006,0,0,
12/31/2007,0,0,
12/31/2008,0,0,
12/31/2009,2.2117,2.21,
12/31/2010,3.1,0.89,
12/31/2011,3.2075,0.11,
12/31/2012,2.5802,-0.63,
12/31/2013,9.5051,6.92,
12/31/2014,28.1842,18.68,
12/31/2015,48.3966,20.21,
